a,b,freq_a,freq_b,p_logistic,p_boosting
okedy,otedy,104,133,0.7042,0.0566
dchedy,pchedy,26,34,0.7026,0.5413
qor,qotor,20,25,0.7012,0.3155
oaiin,shodaiin,23,22,0.699,0.3129
okain,qokain,132,272,0.697,0.2793
saiin,ytaiin,117,34,0.6962,0.6598
qor,sor,20,47,0.6954,0.7874
dal,dam,203,74,0.6933,0.3045
lol,lor,35,38,0.6924,0.4559
okchy,oraiin,22,28,0.6921,0.0877
lchedy,lkedy,111,26,0.6916,0.1172
qotol,qotor,43,25,0.6913,0.2991
lor,sal,38,40,0.69,0.7821
dor,sar,62,66,0.6885,0.4663
okol,otol,61,62,0.6876,0.2958
oaiin,olaiin,23,41,0.6865,0.6281
chol,chor,370,208,0.6812,0.4131
qokal,qotal,175,56,0.6777,0.5933
odaiin,taiin,57,44,0.6771,0.5782
qotol,tol,43,38,0.677,0.5397
okor,qokor,27,29,0.6763,0.461
ody,oly,40,55,0.672,0.0817
pchedy,tchedy,34,30,0.6714,0.6132
lkain,rain,34,20,0.6712,0.6008
dor,sor,62,47,0.6707,0.5672
saiin,taiin,117,44,0.6697,0.4213
cheody,ody,79,40,0.6663,0.1084
dchor,qor,24,20,0.6636,0.3699
qotaiin,taiin,75,44,0.6633,0.4257
dchol,dor,21,62,0.6627,0.4949
chedaiin,chodaiin,29,45,0.6626,0.0875
dair,dor,83,62,0.6624,0.1009
dar,sal,277,40,0.6597,0.2568
kain,lkain,41,34,0.6589,0.3698
cheody,chody,79,87,0.6568,0.1751
otedy,oteedy,133,86,0.6555,0.8286
sal,y,40,244,0.6542,0.1468
tchedy,yteedy,30,25,0.6536,0.6794
sar,ytar,66,21,0.6514,0.3338
qokeor,qotor,21,25,0.648,0.3786
qokaiin,qokain,262,272,0.6458,0.8892
saiin,sal,117,40,0.6445,0.1287
olaiin,olkaiin,41,28,0.6444,0.1036
dor,sal,62,40,0.6402,0.1591
okol,qokol,61,93,0.6336,0.1114
choky,cthol,35,52,0.6335,0.0778
cheky,choky,58,35,0.6325,0.1595
chodaiin,okaiin,45,200,0.6321,0.5467
lor,olor,38,26,0.6294,0.4219
keedy,keey,61,50,0.6279,0.3108
olkeedy,oteedy,41,86,0.6274,0.2238
otedy,qokedy,133,266,0.6272,0.8246
dair,dar,83,277,0.6257,0.8969
oly,otam,55,42,0.6254,0.1328
lkaiin,olkaiin,48,28,0.6249,0.0206
daiin,shodaiin,790,22,0.6215,0.7547
chckhy,chcthy,132,73,0.621,0.4788
olkeedy,ykeedy,41,27,0.621,0.3449
chodaiin,taiin,45,44,0.6164,0.4988
qokeey,qokey,298,104,0.6142,0.9281
sal,ytaiin,40,34,0.6139,0.2682
lor,sain,38,59,0.6122,0.2754
sol,tar,59,40,0.6107,0.0339
okchey,olchey,28,24,0.61,0.4183
sor,tol,47,38,0.6094,0.1084
qotor,tol,25,38,0.6082,0.0596
oaiin,sor,23,47,0.6073,0.065
ldy,oldy,21,23,0.6066,0.0489
qokeeey,ykeey,27,50,0.6061,0.4031
dain,taiin,202,44,0.6054,0.4217
sol,tor,59,22,0.6,0.1851
kchor,kol,20,36,0.5973,0.3417
odaiin,saiin,57,117,0.5973,0.7695
olkaiin,oraiin,28,28,0.5962,0.2538
ody,oty,40,96,0.5946,0.0643
oaiin,odaiin,23,57,0.5928,0.6352
kchol,kchor,25,20,0.5906,0.4068
saiin,sol,117,59,0.5902,0.0992
sair,sol,24,59,0.5887,0.0581
okar,otar,119,122,0.5876,0.0413
sal,shodaiin,40,22,0.5873,0.3311
dair,sal,83,40,0.5802,0.078
chodaiin,ykaiin,45,41,0.5769,0.3518
dain,sain,202,59,0.5762,0.8498
qoteedy,ykeedy,73,27,0.5753,0.2299
kchor,shor,20,91,0.5744,0.2435
okal,otal,132,122,0.5728,0.0518
okchy,qokchy,22,62,0.5711,0.8455
okeol,qokeol,57,50,0.569,0.251
dam,oly,74,55,0.5652,0.3466
odaiin,qotaiin,57,75,0.5627,0.4347
olkeedy,qokeedy,41,295,0.5626,0.0913
sar,tor,66,22,0.5609,0.1216
oraiin,qotaiin,28,75,0.5605,0.529
qoteey,qotey,38,23,0.5602,0.3653
shdy,shody,42,52,0.5591,0.1454
olchey,otchey,24,26,0.5575,0.3747
daiin,odaiin,790,57,0.5566,0.3874
cthor,cthy,41,101,0.5556,0.329
okam,oldy,26,23,0.5544,0.3177
sair,tol,24,38,0.5535,0.0539
chody,ody,87,40,0.5516,0.315
lchey,olchey,49,24,0.549,0.6346
sair,sar,24,66,0.5465,0.5224
dair,sair,83,24,0.5462,0.7593
daiin,ytaiin,790,34,0.545,0.6968
or,s,344,294,0.5446,0.1162
dain,dol,202,103,0.5445,0.4138
lchedy,okeedy,111,99,0.544,0.3651
aiiin,ain,44,102,0.5435,0.2069
lkaiin,raiin,48,60,0.5397,0.2742
okeedy,yteedy,99,25,0.5383,0.0256
okain,okal,132,132,0.5382,0.4804
dchy,kchor,26,20,0.5379,0.0909
dor,saiin,62,117,0.537,0.1509
ody,shody,40,52,0.5368,0.3428
kol,qokol,36,93,0.5366,0.3522
qokaiin,qotaiin,262,75,0.5366,0.4703
qokchedy,qoteedy,38,73,0.5362,0.8179
qotedy,qoteedy,85,73,0.5334,0.5779
odaiin,olaiin,57,41,0.5316,0.3458
ody,oky,40,87,0.5277,0.0876
tor,yteey,22,21,0.5271,0.3456
ckhol,cthor,20,41,0.5268,0.2399
okedy,oteedy,104,86,0.5252,0.3606
ain,air,102,62,0.5195,0.0184
ody,oldy,40,23,0.5195,0.1255
qokol,qotol,93,43,0.516,0.2108
oly,oty,55,96,0.5153,0.0582
otol,qokol,62,93,0.5128,0.2686
otaiin,otain,137,92,0.5114,0.5616
qokain,qokar,272,151,0.5098,0.8306
dair,taiin,83,44,0.5082,0.0805
sol,tol,59,38,0.508,0.6686
chodaiin,daiin,45,790,0.5068,0.2962
qor,tor,20,22,0.5066,0.5565
qor,tar,20,40,0.5054,0.1882
lshedy,olshedy,38,21,0.5039,0.5711
dar,dol,277,103,0.5035,0.5933
dain,sar,202,66,0.5024,0.1538
dor,qor,62,20,0.4994,0.5582
dchy,qokchy,26,62,0.4982,0.2684
qokain,qotain,272,60,0.4968,0.6862
qokaiin,saiin,262,117,0.4964,0.4219
okeody,qokeody,25,29,0.4948,0.0101
dchy,ykchy,26,20,0.4936,0.3801
pchedy,yteedy,34,25,0.4934,0.3021
kal,ky,25,30,0.4931,0.4143
dain,y,202,244,0.4925,0.1268
ytaiin,yty,34,20,0.491,0.396
lor,sor,38,47,0.4902,0.545
dair,oaiin,83,23,0.4899,0.0217
dor,otchol,62,29,0.4899,0.0593
chos,lor,36,38,0.4879,0.0856
okeol,oteol,57,28,0.4876,0.4404
oraiin,ykaiin,28,41,0.486,0.3782
oaiin,qotor,23,25,0.4835,0.0695
cthey,cthy,48,101,0.4822,0.0681
cthey,shody,48,52,0.4819,0.5595
opchedy,qopchedy,47,31,0.4819,0.0783
shedy,sheedy,408,78,0.4812,0.908
okaiin,olaiin,200,41,0.4749,0.0727
qotor,sain,25,59,0.4738,0.0869
dam,dy,74,236,0.4737,0.0343
oaiin,yteey,23,21,0.4737,0.2683
chodaiin,shody,45,52,0.471,0.2728
dal,dar,203,277,0.4707,0.0298
dchol,dchy,21,26,0.4701,0.3071
okeedy,otedy,99,133,0.4692,0.1417
otedy,qoteedy,133,73,0.469,0.4572
dar,dor,277,62,0.4688,0.4545
daly,qokam,22,25,0.4685,0.1464
qokal,qokar,175,151,0.4679,0.2295
dair,sor,83,47,0.4673,0.0948
okedy,okeedy,104,99,0.4666,0.0492
dair,ykaiin,83,41,0.4656,0.0452
d,ody,45,40,0.4625,0.0579
sho,shol,118,172,0.4599,0.0816
dain,ytaiin,202,34,0.4586,0.0643
oaiin,tar,23,40,0.4563,0.0758
dair,tar,83,40,0.4555,0.1235
otchol,sair,29,24,0.4546,0.0827
qokeor,tor,21,22,0.4543,0.4007
cheedy,sheedy,57,78,0.4539,0.6474
lor,otor,38,32,0.4538,0.1864
dair,dol,83,103,0.4535,0.0443
dar,lor,277,38,0.4531,0.2922
oky,oty,87,96,0.453,0.0395
saiin,sair,117,24,0.4522,0.069
kaiin,raiin,75,60,0.4521,0.7737
okchy,sal,22,40,0.4519,0.1739
dor,otol,62,62,0.4509,0.3996
qoky,qoty,137,85,0.4503,0.0352
dchy,yty,26,20,0.4501,0.0957
kchor,yty,20,20,0.4457,0.0843
choky,ckhy,35,35,0.4441,0.0984
cheedy,oteedy,57,86,0.4431,0.0761
dor,tar,62,40,0.4421,0.1558
otor,sor,32,47,0.4411,0.2824
dam,oky,74,87,0.4406,0.007
kchor,sor,20,47,0.4406,0.5139
am,otam,62,42,0.4392,0.0247
kchor,qotol,20,43,0.4385,0.0622
cheey,chey,168,328,0.4378,0.6417
oaiin,sar,23,66,0.4354,0.0718
okam,oly,26,55,0.4352,0.1457
cheody,shody,79,52,0.4341,0.1125
