a,b,freq_a,freq_b,p_logistic,p_boosting
qo,tar,49,40,0.2455,0.0399
lshedy,qoteedy,38,73,0.2454,0.2087
okchy,shody,22,52,0.2453,0.0333
chodaiin,oaiin,45,23,0.244,0.3076
dy,ody,236,40,0.2431,0.0105
oaiin,qokeor,23,21,0.2426,0.118
dain,okaiin,202,200,0.2424,0.0596
dchy,okchey,26,28,0.2413,0.1193
qotor,saiin,25,117,0.2409,0.025
keedy,lkeedy,61,37,0.2407,0.1625
tar,tol,40,38,0.2404,0.0357
olshedy,yteedy,21,25,0.2402,0.52
ody,okal,40,132,0.2401,0.005
ldy,lo,21,20,0.2392,0.0283
am,dam,62,74,0.2387,0.0487
dchor,dol,24,103,0.2378,0.0584
cheedy,olkeedy,57,41,0.2375,0.046
dchor,yty,24,20,0.2375,0.0627
dor,taiin,62,44,0.2375,0.0359
dol,okol,103,61,0.2369,0.0219
oly,sy,55,33,0.2369,0.0901
chedaiin,shodaiin,29,22,0.236,0.0405
kain,rain,41,20,0.2359,0.6081
qokchedy,qokedy,38,266,0.2352,0.098
dal,otal,203,122,0.2351,0.0896
okchedy,okeedy,21,99,0.2351,0.2105
qokchy,shor,62,91,0.235,0.0388
olaiin,qotaiin,41,75,0.2349,0.2673
ody,shodaiin,40,22,0.2339,0.0354
qoaiin,sair,22,24,0.2339,0.188
lchedy,qokchedy,111,38,0.2336,0.0051
lol,qokam,35,25,0.2335,0.0171
sain,ytar,59,21,0.2331,0.106
choky,dam,35,74,0.2324,0.0315
ytaiin,ytar,34,21,0.2319,0.0866
o,qo,139,49,0.2318,0.3923
ykchy,yty,20,20,0.2307,0.0842
lol,okchy,35,22,0.2298,0.0246
dor,tor,62,22,0.2294,0.158
qokar,qotain,151,60,0.2284,0.0602
dy,oky,236,87,0.2281,0.1916
okal,qokal,132,175,0.2278,0.0107
dam,okam,74,26,0.2272,0.0455
kchor,qokchy,20,62,0.2267,0.0535
dchol,ykchy,21,20,0.2264,0.0515
olkeedy,olshedy,41,21,0.2259,0.5923
chaiin,choky,48,35,0.2257,0.0533
lkain,olkain,34,34,0.2256,0.1011
qoteey,qotol,38,43,0.2256,0.0628
dor,lor,62,38,0.2242,0.2809
qokeor,qokor,21,29,0.2236,0.0916
qoaiin,ytar,22,21,0.2234,0.2777
shody,ytaiin,52,34,0.2229,0.1161
lchey,lol,49,35,0.2227,0.049
cheol,chor,157,208,0.2223,0.0087
keedy,lchedy,61,111,0.2223,0.1189
dchol,kol,21,36,0.2218,0.2172
dair,tor,83,22,0.2215,0.0238
otchedy,yteedy,27,25,0.2215,0.5024
dain,okain,202,132,0.2214,0.0143
qokchey,qotey,27,23,0.2213,0.222
olkeey,qoteey,38,38,0.2209,0.3083
cthey,dam,48,74,0.2206,0.044
dchor,saiin,24,117,0.2206,0.0237
kchor,otor,20,32,0.2198,0.0508
odaiin,ody,57,40,0.2197,0.0442
otal,qotal,122,56,0.2194,0.0217
kaiin,okaiin,75,200,0.2192,0.0143
dchedy,sal,26,40,0.2186,0.0357
lor,tor,38,22,0.2183,0.4945
chal,cheky,44,58,0.2179,0.0385
dchor,dchy,24,26,0.2175,0.1381
otchol,ykaiin,29,41,0.2174,0.0405
ckhy,cthor,35,41,0.2172,0.0423
dal,okal,203,132,0.2171,0.045
okeedy,qokchedy,99,38,0.217,0.0937
kchedy,keedy,22,61,0.2168,0.2056
olchedy,qokchedy,34,38,0.2163,0.1625
okor,tor,27,22,0.2157,0.0686
dchedy,qo,26,49,0.2152,0.0381
dar,sar,277,66,0.2151,0.7655
lkaiin,odaiin,48,57,0.2144,0.0983
ain,al,102,212,0.2137,0.2217
ykaiin,ykar,41,32,0.2137,0.0351
dair,shodaiin,83,22,0.2133,0.0188
chaiin,oraiin,48,28,0.2132,0.0699
okor,sor,27,47,0.213,0.0916
cheey,cheol,168,157,0.2129,0.0215
chody,dy,87,236,0.2128,0.1914
kchor,tol,20,38,0.2128,0.0708
qotor,sol,25,59,0.2119,0.0324
cheedy,okeedy,57,99,0.2116,0.0222
sair,ykaiin,24,41,0.2115,0.0304
ykeey,yteey,50,21,0.2115,0.3736
okal,oty,132,96,0.2114,0.0058
dol,y,103,244,0.2109,0.1767
kaiin,oiin,75,29,0.2109,0.3606
lkaiin,oraiin,48,28,0.2107,0.077
qo,yteedy,49,25,0.2106,0.0528
otal,oty,122,96,0.2103,0.0115
d,oky,45,87,0.2098,0.0072
sor,ytar,47,21,0.2097,0.1088
d,lor,45,38,0.2093,0.0161
ckhy,oly,35,55,0.2089,0.1203
olkeedy,qoteedy,41,73,0.2086,0.0998
qoteey,ykeey,38,50,0.2083,0.1704
qotol,sor,43,47,0.2082,0.0652
oaiin,tol,23,38,0.2077,0.0264
chodaiin,qoaiin,45,22,0.2074,0.3078
tol,ykeey,38,50,0.2074,0.0327
qo,qotol,49,43,0.2068,0.04
dchor,shor,24,91,0.2064,0.0697
otchol,shor,29,91,0.2064,0.0153
dchor,otor,24,32,0.2054,0.2999
dchor,ykchy,24,20,0.2053,0.0526
okal,otain,132,92,0.205,0.0364
am,ody,62,40,0.2048,0.0407
oky,qoty,87,85,0.2048,0.0323
olaiin,ytaiin,41,34,0.2037,0.0528
kor,okor,26,27,0.2032,0.1621
dchy,okchy,26,22,0.2031,0.2325
oldy,otam,23,42,0.2027,0.0058
sal,ykaiin,40,41,0.202,0.0814
dchor,kol,24,36,0.2018,0.0108
lkeey,okeeey,39,21,0.2006,0.2413
qoaiin,taiin,22,44,0.1998,0.1914
okey,okol,55,61,0.1987,0.084
qotor,tar,25,40,0.1982,0.0831
dar,odaiin,277,57,0.1981,0.0158
choky,qoty,35,85,0.1974,0.0526
oaiin,sol,23,59,0.1971,0.0244
dol,saiin,103,117,0.1963,0.3624
qokeol,ykeey,50,50,0.1962,0.1498
kol,qotor,36,25,0.1955,0.0188
olshedy,otchedy,21,27,0.1952,0.4497
qokaiin,qol,262,139,0.195,0.2405
otol,shor,62,91,0.1939,0.0298
dchedy,tol,26,38,0.1936,0.0103
okaiin,otain,200,92,0.1928,0.1077
lor,qotor,38,25,0.1927,0.0354
olkeedy,qotedy,41,85,0.1926,0.0462
qokey,qoky,104,137,0.1923,0.1214
chal,choky,44,35,0.1921,0.0367
lchedy,shdy,111,42,0.1918,0.0344
dchor,kor,24,26,0.1916,0.1341
oraiin,saiin,28,117,0.1916,0.1871
qokal,qokedy,175,266,0.1915,0.0293
dar,ytaiin,277,34,0.1905,0.0126
qokol,qotor,93,25,0.1905,0.041
qotor,shor,25,91,0.1903,0.0147
oky,otam,87,42,0.1902,0.0116
lol,y,35,244,0.1894,0.0159
okeey,qokeeey,154,27,0.1894,0.0418
cheody,choky,79,35,0.1892,0.0663
dor,qokeor,62,21,0.1891,0.0691
lshedy,otedy,38,133,0.1891,0.0155
okchedy,olshedy,21,21,0.189,0.5853
otaiin,ytaiin,137,34,0.1889,0.0154
sho,sol,118,59,0.1887,0.0417
sair,ytar,24,21,0.1885,0.1364
shdy,shodaiin,42,22,0.1875,0.0337
dain,tar,202,40,0.1874,0.019
dchol,okchey,21,28,0.1872,0.0264
qotaiin,raiin,75,60,0.1868,0.0923
cheky,cthol,58,52,0.1867,0.0645
okeedy,olchedy,99,34,0.1861,0.0602
ykaiin,ykeey,41,50,0.1853,0.0987
ykaiin,yty,41,20,0.1853,0.0475
oaiin,otor,23,32,0.185,0.1438
cthey,ody,48,40,0.1848,0.0502
dor,shar,62,29,0.1846,0.076
kaiin,kedy,75,47,0.1845,0.0401
cheol,chol,157,370,0.1838,0.1251
olchedy,olshedy,34,21,0.1833,0.3741
qotal,qotar,56,60,0.1829,0.1087
qokol,qol,93,139,0.1824,0.0473
shodaiin,yty,22,20,0.1821,0.0462
choty,ytaiin,36,34,0.1819,0.2313
dol,qokol,103,93,0.1812,0.0217
kol,otchol,36,29,0.1803,0.0445
lshedy,okedy,38,104,0.1798,0.0289
qotaiin,ykaiin,75,41,0.1794,0.2525
d,dam,45,74,0.179,0.0557
d,sy,45,33,0.179,0.0736
qo,tol,49,38,0.1786,0.089
chaiin,cheky,48,58,0.1785,0.031
choty,oty,36,96,0.1779,0.0484
okchey,ykchy,28,20,0.1779,0.1244
lkedy,olkedy,26,24,0.1776,0.1107
dchor,shodaiin,24,22,0.1773,0.08
okaiin,qotaiin,200,75,0.1771,0.0151
olchedy,otchedy,34,27,0.1754,0.0112
otchol,tor,29,22,0.1754,0.0318
r,s,132,294,0.1754,0.0097
ykaiin,ykchy,41,20,0.1753,0.1115
ykchy,ytaiin,20,34,0.1753,0.02
tol,yteey,38,21,0.1749,0.0264
daly,ldy,22,21,0.1748,0.0792
qotchy,ykchy,59,20,0.1747,0.105
lkaiin,taiin,48,44,0.1745,0.2415
choty,yty,36,20,0.1744,0.0688
sheor,shor,45,91,0.1743,0.0444
kchor,qor,20,20,0.1739,0.1888
olkeedy,otedy,41,133,0.1729,0.0023
kol,kor,36,26,0.1718,0.0211
ody,otchdy,40,21,0.1717,0.0701
kchedy,kedy,22,47,0.1712,0.3962
kor,sor,26,47,0.1711,0.2255
kol,ky,36,30,0.1702,0.0348
otchol,qokchy,29,62,0.1699,0.0474
lol,qoty,35,85,0.1693,0.0077
dchol,qokol,21,93,0.1681,0.0697
dol,qotol,103,43,0.1681,0.0576
qoaiin,qotor,22,25,0.1681,0.2135
chcthy,oty,73,96,0.168,0.0079
qokeor,sain,21,59,0.1678,0.034
taiin,tar,44,40,0.1678,0.0392
qoty,shody,85,52,0.1677,0.0626
oldy,otchdy,23,21,0.1675,0.0825
lkeedy,lkeey,37,39,0.1673,0.1197
okchey,otchey,28,26,0.1673,0.0184
daly,dam,22,74,0.1671,0.0104
lchedy,otedy,111,133,0.167,0.0074
okeedy,okeey,99,154,0.167,0.065
qoaiin,qokaiin,22,262,0.167,0.0549
kar,ykar,53,32,0.1669,0.1214
dor,y,62,244,0.1668,0.0262
otar,qotar,122,60,0.1668,0.0214
chaiin,cheody,48,79,0.1667,0.0122
okal,oky,132,87,0.1666,0.0117
ody,olor,40,26,0.1649,0.0196
okeedy,otchedy,99,27,0.1649,0.027
daiin,saiin,790,117,0.1645,0.6996
qokeol,qokor,50,29,0.1645,0.11
d,otam,45,42,0.1636,0.0668
kaiin,olaiin,75,41,0.1633,0.2057
olaiin,olor,41,26,0.1632,0.0212
dshedy,yteedy,30,25,0.1623,0.378
tor,ykaiin,22,41,0.1622,0.0296
cheedy,kedy,57,47,0.1621,0.2596
olkedy,otedy,24,133,0.1616,0.0374
dar,taiin,277,44,0.1607,0.0588
oldy,shody,23,52,0.1604,0.0381
chckhy,checkhy,132,46,0.1601,0.023
dor,lol,62,35,0.1599,0.1051
okaiin,taiin,200,44,0.1598,0.0278
chody,oky,87,87,0.1597,0.0454
oteedy,sheedy,86,78,0.1595,0.0374
okol,oky,61,87,0.159,0.017
sheey,sheol,139,101,0.159,0.0139
kchor,ytar,20,21,0.1588,0.0679
odaiin,sal,57,40,0.1585,0.0187
chody,olchedy,87,34,0.158,0.0092
kchor,sal,20,40,0.158,0.019
qotaiin,qoty,75,85,0.1579,0.0965
ckhy,d,35,45,0.1578,0.0883
qokeor,sal,21,40,0.1572,0.0479
oraiin,qoaiin,28,22,0.1566,0.1304
okchy,taiin,22,44,0.1556,0.0247
olchey,olkeey,24,38,0.1553,0.0616
dor,odaiin,62,57,0.1552,0.0665
oraiin,otam,28,42,0.1551,0.0225
dal,ody,203,40,0.155,0.0036
qotchy,tol,59,38,0.1548,0.0362
kaiin,kain,75,41,0.1547,0.3181
olkain,rain,34,20,0.1547,0.007
kchor,sair,20,24,0.1546,0.0811
qokaiin,qotain,262,60,0.1546,0.0945
am,qokam,62,25,0.1544,0.0085
chor,kchor,208,20,0.1541,0.0056
tchedy,tol,30,38,0.1541,0.0097
qotchy,qotol,59,43,0.154,0.0584
chdy,dal,129,203,0.1538,0.009
lshedy,olchedy,38,34,0.1537,0.1318
otol,qotchy,62,59,0.1536,0.0464
dal,dol,203,103,0.1535,0.0349
ldy,lol,21,35,0.1535,0.0406
dchor,sal,24,40,0.1533,0.0269
lkar,rain,31,20,0.1532,0.1535
cthey,cthol,48,52,0.1519,0.084
dain,lor,202,38,0.1519,0.0557
dol,sain,103,59,0.1516,0.1743
qokaiin,taiin,262,44,0.1514,0.0349
otchol,yty,29,20,0.1513,0.0113
chedy,lchedy,476,111,0.151,0.013
lshedy,okeedy,38,99,0.1509,0.0374
sal,shar,40,29,0.1508,0.0306
chey,shey,328,263,0.1505,0.7379
otol,shol,62,172,0.1502,0.055
qokchy,shol,62,172,0.1501,0.088
cthey,oky,48,87,0.1497,0.062
d,shody,45,52,0.1494,0.0116
kchor,taiin,20,44,0.1485,0.035
olaiin,otaiin,41,137,0.1485,0.0071
lkedy,lkeedy,26,37,0.1484,0.2701
dar,ytar,277,21,0.1482,0.0279
qoky,qotal,137,56,0.1482,0.0309
char,otar,75,122,0.1481,0.0104
okal,okey,132,55,0.1481,0.0127
daiin,taiin,790,44,0.148,0.6234
lkar,otar,31,122,0.148,0.0034
olchedy,otchdy,34,21,0.148,0.0281
okar,otal,119,122,0.1478,0.0099
olkeedy,sheedy,41,78,0.1477,0.0176
olchey,olshedy,24,21,0.1475,0.2301
ckhol,cthol,20,52,0.147,0.5828
sal,yteedy,40,25,0.1468,0.0402
qoty,yty,85,20,0.1466,0.0074
y,ytaiin,244,34,0.1466,0.0235
chedaiin,odaiin,29,57,0.1464,0.0893
choty,shody,36,52,0.1464,0.0891
otam,qokam,42,25,0.1462,0.0059
qokchedy,ykeedy,38,27,0.1462,0.1209
otchol,qokeol,29,50,0.146,0.041
pchedy,qoteedy,34,73,0.1459,0.4762
sar,ykaiin,66,41,0.1459,0.0324
chy,cthol,141,52,0.1457,0.1388
lchey,lkedy,49,26,0.1454,0.1753
dor,qo,62,49,0.1453,0.0498
sol,y,59,244,0.1453,0.0085
lchey,qokey,49,104,0.1452,0.0551
dair,qor,83,20,0.145,0.0183
chor,shol,208,172,0.1446,0.0067
olaiin,qokaiin,41,262,0.1444,0.0248
qotor,yteey,25,21,0.1444,0.0431
d,olor,45,26,0.144,0.0114
kchedy,qokchedy,22,38,0.1437,0.0231
lkaiin,okain,48,132,0.1436,0.0489
otal,otar,122,122,0.1435,0.0126
sal,yty,40,20,0.1432,0.023
qo,sol,49,59,0.1431,0.0591
qokaiin,ytaiin,262,34,0.1431,0.0064
oldy,shodaiin,23,22,0.1429,0.085
qokeor,sor,21,47,0.1427,0.0447
pchedy,qokchedy,34,38,0.1425,0.2253
oteey,qoteedy,97,73,0.1424,0.0365
otain,qotar,92,60,0.1423,0.016
lor,taiin,38,44,0.142,0.0361
qokam,sy,25,33,0.142,0.0027
choky,shody,35,52,0.1419,0.072
dol,sho,103,118,0.1418,0.0246
okeey,ykeey,154,50,0.1417,0.106
chcthy,chey,73,328,0.1416,0.181
cthey,dal,48,203,0.1415,0.0027
kchy,yty,33,20,0.1411,0.0271
qotchy,qotor,59,25,0.1411,0.063
okain,qotain,132,60,0.1407,0.0358
olchey,qokchedy,24,38,0.1406,0.0521
qotol,yty,43,20,0.1406,0.0115
chaiin,chal,48,44,0.1405,0.0471
taiin,tchey,44,20,0.1403,0.0251
ckhy,cthol,35,52,0.1402,0.0128
chaiin,otaiin,48,137,0.1401,0.0203
chodaiin,dair,45,83,0.14,0.0097
kor,tor,26,22,0.14,0.5827
okain,okol,132,61,0.14,0.0185
otchol,qotchy,29,59,0.14,0.0254
okchy,yteedy,22,25,0.1398,0.1628
kain,raiin,41,60,0.1396,0.0776
chckhy,cheky,132,58,0.1395,0.1015
qopchedy,qotedy,31,85,0.1394,0.3365
choky,ody,35,40,0.1393,0.0801
cthey,yty,48,20,0.1393,0.1203
lshedy,otchedy,38,27,0.1393,0.0863
kol,qokeol,36,50,0.1392,0.0203
