v101_locus,zl_locus,zl_descriptor,zl_hand,zl_language,distance
f6r.3,f6r.3,+P0,1,A,0.042
f6r.4,f6r.4,+P0,1,A,0.05
f6r.5,f6r.5,+P0,1,A,0.0
f6r.6,f6r.6,+P0,1,A,0.0
f6r.7,f6r.7,+P0,1,A,0.0
f6r.8,f6r.8,+P0,1,A,0.0
f6r.9,f6r.9,+P0,1,A,0.0
f6r.10,f6r.10,+P0,1,A,0.065
f6r.11,f6r.11,+P0,1,A,0.042
f6r.12,f6r.12,+P0,1,A,0.0
f6r.13,f6r.13,+P0,1,A,0.0
f6r.14,f6r.14,+P0,1,A,0.0
f6v.1,f6v.1,@P0,1,A,0.037
f6v.2,f6v.2,+P0,1,A,0.035
f6v.3,f6v.3,+P0,1,A,0.039
f6v.4,f6v.4,+P0,1,A,0.083
f6v.5,f6v.5,+P0,1,A,0.029
f6v.6,f6v.6,+P0,1,A,0.038
f6v.7,f6v.7,+P0,1,A,0.0
f6v.8,f6v.8,+P0,1,A,0.0
f6v.9,f6v.9,+P0,1,A,0.0
f6v.10,f6v.10,+P0,1,A,0.048
f6v.11,f6v.11,+P0,1,A,0.087
f6v.12,f6v.12,+P0,1,A,0.0
f6v.13,f6v.13,+P0,1,A,0.0
f6v.14,f6v.14,+P0,1,A,0.038
f6v.15,f6v.15,+P0,1,A,0.0
f6v.16,f6v.16,+P0,1,A,0.048
f6v.17,f6v.17,+P0,1,A,0.08
f6v.18,f6v.18,+P0,1,A,0.048
f6v.19,f6v.19,+P0,1,A,0.05
f6v.20,f6v.20,+P0,1,A,0.0
f6v.21,f6v.21,+P0,1,A,0.0
f7r.1,f7r.1,@P0,1,A,0.021
f7r.2,f7r.2,+P0,1,A,0.0
f7r.3,f7r.3,+P0,1,A,0.0
f7r.4,f7r.4,+P0,1,A,0.0
f7r.5,f7r.5,+P0,1,A,0.0
f7r.6,f7r.6,+P0,1,A,0.071
f7r.7,f7r.7,+P0,1,A,0.0
f7r.8,f7r.8,+P0,1,A,0.0
f7r.9,f7r.9,+P0,1,A,0.0
f7r.10,f7r.10,+P0,1,A,0.0
f7v.1,f7v.1,@P0,1,A,0.02
f7v.2,f7v.2,+P0,1,A,0.019
f7v.3,f7v.3,+P0,1,A,0.019
f7v.4,f7v.4,+P0,1,A,0.0
f7v.5,f7v.5,+P0,1,A,0.0
f7v.6,f7v.6,+P0,1,A,0.019
f7v.7,f7v.7,+P0,1,A,0.057
f7v.8,f7v.8,+P0,1,A,0.042
f7v.9,f7v.9,+P0,1,A,0.023
f8r.1,f8r.1,@P0,1,A,0.019
f8r.2,f8r.2,+P0,1,A,0.0
f8r.3,f8r.3,+P0,1,A,0.0
f8r.4,f8r.4,+P0,1,A,0.041
f8r.5,f8r.5,+P0,1,A,0.091
f8r.6,f8r.6,+P0,1,A,0.043
f8r.7,f8r.7,+P0,1,A,0.324
f8r.8,f8r.9,*P0,1,A,0.019
f8r.9,f8r.10,+P0,1,A,0.021
f8r.10,f8r.11,+P0,1,A,0.058
f8r.11,f8r.12,+P0,1,A,0.263
f8r.12,f8r.14,*P0,1,A,0.172
f8r.13,f8r.15,+P0,1,A,0.086
f8r.14,f8r.16,+P0,1,A,0.057
f8r.15,f8r.17,+P0,1,A,0.021
f8r.16,f8r.18,+P0,1,A,0.02
f8r.17,f8r.19,+P0,1,A,0.02
f8r.18,f8r.20,+P0,1,A,0.429
f8v.1,f8v.1,@P0,1,A,0.156
f8v.2,f8v.2,+P0,1,A,0.0
f8v.3,f8v.3,+P0,1,A,0.02
f8v.4,f8v.4,+P0,1,A,0.022
f8v.5,f8v.5,+P0,1,A,0.027
f8v.6,f8v.6,+P0,1,A,0.028
f8v.7,f8v.7,+P0,1,A,0.0
f8v.8,f8v.8,+P0,1,A,0.0
f8v.9,f8v.9,+P0,1,A,0.0
f8v.10,f8v.10,+P0,1,A,0.0
f8v.11,f8v.11,+P0,1,A,0.0
f8v.12,f8v.12,+P0,1,A,0.044
f8v.13,f8v.13,+P0,1,A,0.0
f8v.14,f8v.14,+P0,1,A,0.0
f8v.15,f8v.15,+P0,1,A,0.059
f8v.16,f8v.16,+P0,1,A,0.022
f8v.17,f8v.17,+P0,1,A,0.0
f9r.1,f9r.1,@P0,1,A,0.0
f9r.2,f9r.2,+P0,1,A,0.0
f9r.3,f9r.3,+P0,1,A,0.02
f9r.4,f9r.4,+P0,1,A,0.0
f9r.5,f9r.5,+P0,1,A,0.0
f9r.6,f9r.6,+P0,1,A,0.123
f9r.7,f9r.7,+P0,1,A,0.0
f9r.8,f9r.8,+P0,1,A,0.0
f9r.9,f9r.9,+P0,1,A,0.136
f9r.10,f9r.10,+Pc,1,A,0.05
f9v.1,f9v.1,@P0,1,A,0.0
f9v.2,f9v.2,+P0,1,A,0.0
f9v.3,f9v.3,+P0,1,A,0.0
f9v.4,f9v.4,+P0,1,A,0.081
f9v.5,f9v.5,+P0,1,A,0.019
f9v.6,f9v.6,+P0,1,A,0.0
f9v.7,f9v.7,+P0,1,A,0.0
f9v.8,f9v.8,+P0,1,A,0.0
f9v.9,f9v.9,+P0,1,A,0.0
f9v.10,f9v.10,+P0,1,A,0.0
f9v.11,f9v.11,+P0,1,A,0.043
f9v.12,f9v.12,+P0,1,A,0.0
f10r.1,f10r.1,@P0,1,A,0.018
f10r.2,f10r.2,+P0,1,A,0.0
f10r.3,f10r.3,+P0,1,A,0.02
f10r.4,f10r.4,+P0,1,A,0.019
f10r.5,f10r.5,+P0,1,A,0.0
f10r.6,f10r.6,+P0,1,A,0.0
f10r.7,f10r.7,+P0,1,A,0.02
f10r.8,f10r.8,+P0,1,A,0.0
f10r.9,f10r.9,+P0,1,A,0.0
f10r.10,f10r.10,+P0,1,A,0.0
f10r.11,f10r.11,+P0,1,A,0.139
f10r.12,f10r.12,+P0,1,A,0.167
f10v.1,f10v.1,@P0,1,A,0.0
f10v.2,f10v.2,+P0,1,A,0.0
f10v.3,f10v.3,+P0,1,A,0.034
f10v.4,f10v.4,+P0,1,A,0.021
f10v.5,f10v.5,+P0,1,A,0.0
f10v.6,f10v.6,+P0,1,A,0.0
f10v.7,f10v.7,+P0,1,A,0.024
f11r.1,f11r.1,@P0,1,A,0.0
f11r.2,f11r.2,+P0,1,A,0.057
f11r.3,f11r.3,+P0,1,A,0.0
f11r.4,f11r.4,+P0,1,A,0.0
f11r.5,f11r.5,+P0,1,A,0.161
f11r.6,f11r.6,+P0,1,A,0.038
f11r.7,f11r.7,+P0,1,A,0.0
f11v.1,f11v.1,@P0,1,A,0.0
f11v.2,f11v.2,+P0,1,A,0.021
f11v.3,f11v.3,+P0,1,A,0.125
f11v.4,f11v.4,+P0,1,A,0.043
f11v.5,f11v.6,=P0,1,A,0.024
f11v.6,f11v.7,+P0,1,A,0.0
f13r.1,f13r.1,@P0,1,A,0.019
f13r.2,f13r.2,+P0,1,A,0.019
f13r.3,f13r.3,+P0,1,A,0.019
f13r.4,f13r.4,+P0,1,A,0.0
f13r.5,f13r.5,+P0,1,A,0.0
f13r.6,f13r.6,+P0,1,A,0.02
f13r.7,f13r.7,+P0,1,A,0.0
f13r.8,f13r.8,+P0,1,A,0.098
f13r.9,f13r.9,+P0,1,A,0.026
f13r.10,f13r.10,+P0,1,A,0.0
f13v.1,f13v.1,@P0,1,A,0.0
f13v.2,f13v.2,+P0,1,A,0.0
f13v.3,f13v.3,+P0,1,A,0.0
f13v.4,f13v.4,+P0,1,A,0.152
f13v.5,f13v.5,+P0,1,A,0.0
f13v.6,f13v.6,+P0,1,A,0.0
f13v.7,f13v.7,+P0,1,A,0.0
f13v.8,f13v.8,+P0,1,A,0.087
f13v.9,f13v.9,+P0,1,A,0.023
f13v.10,f13v.10,+P0,1,A,0.0
f14r.1,f14r.1,@P0,1,A,0.029
f14r.2,f14r.2,+P0,1,A,0.029
f14r.3,f14r.3,+P0,1,A,0.0
f14r.4,f14r.4,+P0,1,A,0.0
f14r.5,f14r.5,+P0,1,A,0.0
f14r.6,f14r.6,+P0,1,A,0.0
f14r.7,f14r.7,+P0,1,A,0.0
f14r.8,f14r.8,+P0,1,A,0.171
f14r.9,f14r.9,+P0,1,A,0.045
f14r.10,f14r.10,+P0,1,A,0.023
f14r.11,f14r.11,+P0,1,A,0.025
f14r.12,f14r.12,+P0,1,A,0.081
f14r.13,f14r.13,+P0,1,A,0.0
f14v.1,f14v.1,@P0,1,A,0.02
f14v.2,f14v.2,+P0,1,A,0.02
f14v.3,f14v.3,+P0,1,A,0.122
f14v.4,f14v.4,+P0,1,A,0.083
f14v.5,f14v.5,+P0,1,A,0.0
f14v.6,f14v.6,+P0,1,A,0.064
f14v.7,f14v.7,+P0,1,A,0.021
f14v.8,f14v.8,+P0,1,A,0.0
f14v.9,f14v.9,+P0,1,A,0.045
f15r.1,f15r.1,@P0,1,A,0.025
f15r.2,f15r.2,+P0,1,A,0.03
f15r.3,f15r.3,+P0,1,A,0.028
f15r.4,f15r.4,+P0,1,A,0.026
f15r.5,f15r.5,+P0,1,A,0.0
f15r.6,f15r.6,+P0,1,A,0.033
f15r.7,f15r.7,+P0,1,A,0.0
f15r.8,f15r.8,+P0,1,A,0.097
f15r.9,f15r.9,+P0,1,A,0.0
f15r.10,f15r.10,+P0,1,A,0.029
f15r.11,f15r.11,+P0,1,A,0.0
f15r.12,f15r.12,+P0,1,A,0.0
f15r.13,f15r.13,+P0,1,A,0.0
f15r.14,f15r.14,+P0,1,A,0.025
f15r.15,f15r.15,+P0,1,A,0.036
f15v.1,f15v.1,@P0,1,A,0.029
f15v.2,f15v.2,+P0,1,A,0.162
f15v.3,f15v.3,+P0,1,A,0.0
f15v.4,f15v.4,+P0,1,A,0.0
f15v.5,f15v.5,+P0,1,A,0.033
f15v.6,f15v.6,+P0,1,A,0.0
f15v.7,f15v.7,+P0,1,A,0.059
f15v.8,f15v.8,+P0,1,A,0.0
f15v.9,f15v.9,+P0,1,A,0.03
f15v.10,f15v.10,+P0,1,A,0.0
f15v.11,f15v.11,+P0,1,A,0.0
f15v.12,f15v.12,+P0,1,A,0.0
f16r.1,f16r.1,@P0,1,A,0.0
f16r.2,f16r.2,+P0,1,A,0.022
f16r.3,f16r.3,+P0,1,A,0.0
f16r.4,f16r.4,+Pc,1,A,0.0
f16r.5,f16r.5,*P0,1,A,0.025
f16r.6,f16r.6,+P0,1,A,0.026
f16r.7,f16r.7,+P0,1,A,0.025
f16r.8,f16r.8,+P0,1,A,0.0
f16r.9,f16r.9,+P0,1,A,0.0
f16r.10,f16r.10,+P0,1,A,0.075
f16r.11,f16r.11,+P0,1,A,0.0
f16r.12,f16r.12,+P0,1,A,0.0
f16r.13,f16r.13,+P0,1,A,0.056
f16v.1,f16v.1,@P0,1,A,0.024
f16v.2,f16v.2,+P0,1,A,0.0
f16v.3,f16v.3,+P0,1,A,0.0
f16v.4,f16v.4,+P0,1,A,0.0
f16v.5,f16v.5,+P0,1,A,0.0
f16v.6,f16v.6,+P0,1,A,0.062
f16v.7,f16v.7,+P0,1,A,0.029
f16v.8,f16v.8,+P0,1,A,0.022
f16v.9,f16v.9,+P0,1,A,0.0
f16v.10,f16v.10,+P0,1,A,0.0
f16v.11,f16v.11,+P0,1,A,0.0
f16v.12,f16v.12,+P0,1,A,0.0
f16v.13,f16v.13,+P0,1,A,0.0
f17r.1,f17r.1,@P0,1,A,0.018
f17r.2,f17r.2,+P0,1,A,0.0
f17r.3,f17r.3,+P0,1,A,0.029
f17r.4,f17r.4,+P0,1,A,0.132
f17r.5,f17r.5,+P0,1,A,0.0
f17r.6,f17r.6,+P0,1,A,0.036
f17r.7,f17r.7,+P0,1,A,0.049
f17r.8,f17r.8,+P0,1,A,0.037
f17r.9,f17r.9,+P0,1,A,0.0
f17r.10,f17r.10,+P0,1,A,0.074
f17r.11,f17r.11,+P0,1,A,0.0
f17r.12,f17r.12,+P0,1,A,0.0
f17v.1,f17v.1,@P0,1,A,0.059
f17v.2,f17v.2,+P0,1,A,0.027
f17v.3,f17v.3,+P0,1,A,0.025
f17v.4,f17v.4,+P0,1,A,0.0
f17v.5,f17v.5,+P0,1,A,0.0
f17v.6,f17v.6,+P0,1,A,0.037
f17v.7,f17v.7,+P0,1,A,0.0
f17v.8,f17v.8,+P0,1,A,0.0
f17v.9,f17v.9,+P0,1,A,0.0
f17v.10,f17v.10,+P0,1,A,0.033
f17v.11,f17v.11,+P0,1,A,0.0
f17v.12,f17v.12,+P0,1,A,0.033
f17v.13,f17v.13,+P0,1,A,0.03
f17v.14,f17v.14,+P0,1,A,0.029
f17v.15,f17v.15,+P0,1,A,0.083
f17v.16,f17v.16,+P0,1,A,0.029
f17v.17,f17v.17,+P0,1,A,0.0
f17v.18,f17v.18,+P0,1,A,0.0
f17v.19,f17v.19,+P0,1,A,0.0
f17v.20,f17v.20,+P0,1,A,0.0
f17v.21,f17v.21,+P0,1,A,0.0
f17v.22,f17v.22,+P0,1,A,0.0
f17v.23,f17v.23,+P0,1,A,0.083
f18r.1,f18r.1,@P0,1,A,0.056
f18r.2,f18r.2,+P0,1,A,0.06
f18r.3,f18r.3,+P0,1,A,0.273
f18r.4,f18r.4,+P0,1,A,0.0
f18r.5,f18r.5,+P0,1,A,0.0
f18r.6,f18r.6,+P0,1,A,0.0
f18r.7,f18r.7,+P0,1,A,0.0
